ds,y
2021-03-21,2400.0
2021-03-28,2180.0
2021-04-04,1650.0
2021-04-11,1950.0
2021-04-18,1800.0
2021-04-25,1714.2857142857142
2021-05-02,1966.6666666666667
2021-05-09,1980.0
2021-05-16,1750.0
2021-05-23,1750.0
2021-05-30,1750.0
2021-06-06,2500.0
2021-06-13,2480.0
2021-06-20,2478.5714285714284
2021-06-27,2564.285714285714
2021-07-04,2514.285714285714
2021-07-11,2600.0
2021-07-18,2800.0
2021-07-25,2650.0
2021-08-01,2483.3333333333335
2021-08-08,2550.0
2021-08-15,2916.6666666666665
2021-08-22,2583.3333333333335
2021-08-29,2580.0
2021-09-05,2550.0
2021-09-12,2491.6666666666665
2021-09-19,2492.8571428571427
2021-09-26,2480.0
2021-10-03,2600.0
2021-10-10,2860.0
2021-10-17,3416.6666666666665
2021-10-24,3366.6666666666665
2021-10-31,3500.0
2021-11-07,3525.0
2021-11-14,3550.0
2021-11-21,3342.8571428571427
2021-11-28,3071.4285714285716
2021-12-05,2800.0
2021-12-12,2560.0
2021-12-19,2500.0
2021-12-26,2500.0
2022-01-02,2633.3333333333335
2022-01-09,2960.0
2022-01-16,2528.5714285714284
2022-01-23,2500.0
2022-01-30,2950.0
2022-02-06,2840.0
2022-02-13,2920.0
2022-02-20,3071.4285714285716
2022-02-27,3078.5714285714284
2022-03-06,2920.0
2022-03-13,2885.714285714286
2022-03-20,2680.0
2022-03-27,2658.3333333333335
2022-04-03,2300.0
2022-04-10,1707.142857142857
2022-04-17,1600.0
2022-04-24,1542.857142857143
2022-05-01,1742.857142857143
2022-05-08,1800.0
2022-05-15,1666.6666666666667
2022-05-22,1650.0
2022-05-29,1600.0
2022-06-05,1620.0
2022-06-12,1627.857142857143
2022-06-19,1560.0
2022-06-26,1560.0
2022-07-03,1583.3333333333333
2022-07-10,1792.857142857143
2022-07-17,1916.6666666666667
2022-07-24,1783.3333333333333
2022-07-31,1680.0
2022-08-07,1840.0
2022-08-14,1900.0
2022-08-21,1925.0
2022-08-28,1892.857142857143
2022-09-04,1750.0
2022-09-11,1616.6666666666667
2022-09-18,1625.0
2022-09-25,1641.6666666666667
2022-10-02,1600.0
2022-10-09,1820.0
2022-10-16,2100.0
2022-10-23,2250.0
2022-10-30,2400.0
2022-11-06,2614.285714285714
2022-11-13,2530.0
2022-11-20,2328.5714285714284
2022-11-27,2100.0
2022-12-04,1775.0
2022-12-11,1641.6666666666667
2022-12-18,1580.0
2022-12-25,1637.5
2023-01-01,1720.0
2023-01-08,1800.0
2023-01-15,1820.0
2023-01-22,1820.0
2023-01-29,1900.0
2023-02-05,1660.0
2023-02-12,1650.0
2023-02-19,1550.0
2023-02-26,1500.0
2023-03-05,1460.0
2023-03-12,1316.6666666666667
2023-03-19,1400.0
2023-03-26,1400.0
2023-04-02,1400.0
2023-04-09,1475.0
2023-04-16,1350.0
2023-04-23,1212.5
2023-04-30,1225.0
2023-05-07,1233.3333333333333
2023-05-14,1266.6666666666667
2023-05-21,1200.0
2023-05-28,1240.0
2023-06-04,1260.0
2023-06-11,1380.0
2023-06-18,1483.3333333333333
2023-06-25,1300.0
2023-07-02,1350.0
2023-07-09,1516.6666666666667
2023-07-16,1700.0
2023-07-23,1687.5
2023-07-30,1655.0
2023-08-06,1775.0
2023-08-13,2000.0
2023-08-20,2620.0
2023-08-27,2800.0
2023-09-03,2750.0
2023-09-10,2700.0
2023-09-17,2500.0
2023-09-24,2650.0
2023-10-01,2650.0
2023-10-08,2816.6666666666665
2023-10-15,3025.0
2023-10-22,3025.0
2023-10-29,3025.0
2023-11-05,5075.0
2023-11-12,4825.0
2023-11-19,4500.0
2023-11-26,4300.0
2023-12-03,4200.0
2023-12-10,4200.0
2023-12-17,4040.0
2023-12-24,3380.0
2023-12-31,3000.0
2024-01-07,2235.714285714286
2024-01-14,2325.0
2024-01-21,2357.1428571428573
2024-01-28,2300.0
2024-02-04,2364.285714285714
2024-02-11,2383.3333333333335
2024-02-18,2257.1428571428573
2024-02-25,2200.0
2024-03-03,2283.3333333333335
2024-03-10,2292.8571428571427
2024-03-17,2320.0
2024-03-24,2337.5
2024-03-31,2316.6666666666665
2024-04-07,2300.0
2024-04-14,2133.3333333333335
2024-04-21,2100.0
2024-04-28,2142.8571428571427
2024-05-05,2121.4285714285716
2024-05-12,2130.0
2024-05-19,2175.0
2024-05-26,2100.0
2024-06-02,2100.0
2024-06-09,2142.8571428571427
2024-06-16,2200.0
2024-06-23,2340.0
2024-06-30,3464.285714285714
2024-07-07,3842.8571428571427
2024-07-14,3942.8571428571427
2024-07-21,3471.4285714285716
2024-07-28,3407.1428571428573
2024-08-04,3414.285714285714
2024-08-11,3357.1428571428573
2024-08-18,3550.0
2024-08-25,3614.285714285714
2024-09-01,3871.4285714285716
2024-09-08,4028.5714285714284
2024-09-15,4060.0
2024-09-22,4333.333333333333
2024-09-29,4542.857142857143
2024-10-06,4666.666666666667
2024-10-13,4600.0
2024-10-20,4200.0
2024-10-27,4342.857142857143
2024-11-03,4500.0
2024-11-10,4500.0
2024-11-17,5200.0
2024-11-24,4985.714285714285
2024-12-01,4300.0
2024-12-08,4057.1428571428573
2024-12-15,4000.0
2024-12-22,3671.4285714285716
2024-12-29,2980.0
2025-01-05,2585.714285714286
2025-01-12,2714.285714285714
2025-01-19,2866.6666666666665
2025-01-26,2600.0
2025-02-02,2590.0
2025-02-09,2514.285714285714
2025-02-16,2700.0
2025-02-23,3257.1428571428573
2025-03-02,3200.0
2025-03-09,3075.0
2025-03-16,2978.5714285714284
2025-03-23,2414.285714285714
2025-03-30,2341.6666666666665
2025-04-06,2275.0
2025-04-13,2328.5714285714284
2025-04-20,2240.0
2025-04-27,1900.0
2025-05-04,1900.0
2025-05-11,1925.0
2025-05-18,1733.3333333333333
2025-05-25,1507.142857142857
2025-06-01,1558.3333333333333
2025-06-08,1535.7142857142858
2025-06-15,1485.7142857142858
2025-06-22,1471.4285714285713
2025-06-29,1564.2857142857142
2025-07-06,1592.857142857143
2025-07-13,1635.7142857142858
2025-07-20,1670.0
2025-07-27,1728.5714285714287
2025-08-03,1700.0
2025-08-10,1692.857142857143
2025-08-17,1607.142857142857
2025-08-24,1671.4285714285713
2025-08-31,1685.7142857142858
2025-09-07,1733.3333333333333
2025-09-14,1735.7142857142858
2025-09-21,1548.3333333333333
2025-09-28,1585.7142857142858
2025-10-05,1655.0
2025-10-12,1557.142857142857
2025-10-19,1521.4285714285713
2025-10-26,1435.0
2025-11-02,1457.142857142857
2025-11-09,1446.6666666666667
2025-11-16,1430.0
2025-11-23,1421.4285714285713
2025-11-30,1438.5714285714287
2025-12-07,1424.2857142857142
2025-12-14,1545.7142857142858
2025-12-21,1685.7142857142858
2025-12-28,1650.0
2026-01-04,1750.0
2026-01-11,1721.4285714285713
2026-01-18,1728.5714285714287
2026-01-25,1751.6666666666667
2026-02-01,1700.0
2026-02-08,1730.0
2026-02-15,1731.4285714285713
2026-02-22,1677.142857142857
2026-03-01,1666.6666666666667
2026-03-08,1550.0
2026-03-15,1525.0
2026-03-22,1442.5
